Rank,Name,Role,Donated,Received,Activity Rank
1,OrAcLE,Co-leader,122,40,38
2,Priimz,Elder,136,190,13
3,gZa,Co-leader,34,120,39
4,X_MILOTIX_x,Member,0,0,48
5,Julitschka,Elder,126,160,3
6,sandhuegel,Co-leader,140,160,16
7,:),Elder,132,120,21
8,mck,Member,0,40,27
9,gramoxx,Co-leader,8,80,45
10,Sapyron,Leader,279,160,1
11,Schurkbarig,Co-leader,102,152,19
12,Felix710,Elder,32,120,32
13,Einhornkotze,Elder,130,170,17
14,johann,Elder,174,160,7
15,Pat Mini,Elder,88,180,18
16,Kochi,Member,18,120,33
17,Mani 2.0,Member,0,0,47
18,indigo,Elder,144,150,14
19,dbboum,Co-leader,58,40,34
20,Platsch3rMagi3r,Member,20,40,40
21,AUKINA,Member,326,160,9
22,ddaavviidd,Member,28,0,44
23,DevilsPasta,Elder,350,240,4
24,AceBall,Member,0,0,46
25,xgamer,Member,154,160,10
26,Felix,Elder,218,198,5
27,fairplayDE,Member,48,80,23
28,Freyya,Co-leader,91,40,24
29,lennydeeercoole,Member,30,80,25
30,Dustin,Member,0,0,35
31,pupsgesicht,Member,0,40,37
32,toto,Elder,94,120,15
33,Line,Member,0,0,43
34,Dean,Member,132,0,20
35,floflori,Elder,0,0,41
36,General,Elder,198,140,6
37,Jure,Member,0,0,42
38,Regen,Elder,128,80,8
39,gabriel,Member,16,0,36
40,mlme,Member,2,60,26
41,Ponykiller04,Member,20,0,30
42,PhelyxReyem,Member,16,30,28
43,MMLN,Elder,94,120,11
44,-R3aper-,Member,20,30,22
45,Eeoneguy,Elder,202,120,2
46,Papa Schlumpf,Member,0,0,31
47,CookieziOsu,Member,0,0,29
48,Schlumpfine,Member,72,60,12
